,1/13/2021
Timestamp,cbt [mC]
1610547797,0
1610547798,0
1610547799,0
1610547800,0
1610547801,0
1610547802,0
1610547803,0
1610547804,0
1610547805,0
1610547806,0
1610547807,0
1610547808,0
1610547809,0
1610547810,0
1610547811,0
1610547812,0
1610547813,0
1610547814,0
1610547815,0
1610547816,0
1610547817,0
1610547818,0
1610547819,0
1610547820,0
1610547821,0
1610547822,0
1610547823,0
1610547824,0
1610547825,0
1610547826,0
1610547827,0
1610547828,0
1610547829,0
1610547830,0
1610547831,0
1610547832,0
1610547833,0
1610547834,0
1610547835,0
1610547836,0
1610547837,0
1610547838,0
1610547839,0
1610547840,0
1610547841,0
1610547842,0
1610547843,0
1610547844,0
1610547845,0
1610547846,0
1610547847,0
1610547848,0
1610547849,0
1610547850,0
1610547851,0
1610547852,0
1610547853,0
1610547854,0
1610547855,0
1610547856,0
1610547857,0
1610547858,0
1610547859,0
1610547860,0
1610547861,0
1610547862,0
1610547863,0
1610547864,0
1610547865,0
1610547866,0
1610547867,0
1610547868,0
1610547869,0
1610547870,0
1610547871,0
1610547872,0
1610547873,0
1610547874,0
1610547875,0
1610547876,0
1610547877,0
1610547878,0
1610547879,0
1610547880,0
1610547881,0
1610547882,0
1610547883,0
1610547884,0
1610547885,0
1610547886,0
1610547887,0
1610547888,0
1610547889,0
1610547890,0
1610547891,0
1610547892,0
1610547893,0
1610547894,0
1610547895,0
1610547896,0
1610547897,0
1610547898,0
1610547899,0
1610547900,0
1610547901,0
1610547902,0
1610547903,0
1610547904,0
1610547905,0
1610547906,0
1610547907,0
1610547908,0
1610547909,0
1610547910,0
1610547911,0
1610547912,0
1610547913,0
1610547914,0
1610547915,0
1610547916,0
1610547917,36941
1610547918,36941
1610547919,36941
1610547920,36941
1610547921,36941
1610547922,36941
1610547923,36941
1610547924,36941
1610547925,36941
1610547926,36941
1610547927,36941
1610547928,36941
1610547929,36941
1610547930,36941
1610547931,36941
1610547932,36941
1610547933,36941
1610547934,36941
1610547935,36941
1610547936,36941
1610547937,36941
1610547938,36941
1610547939,36941
1610547940,36941
1610547941,36941
1610547942,36941
1610547943,36941
1610547944,36941
1610547945,36941
1610547946,36941
1610547947,36941
1610547948,36941
1610547949,36941
1610547950,36941
1610547951,36941
1610547952,36941
1610547953,36941
1610547954,36941
1610547955,36941
1610547956,36941
1610547957,36941
1610547958,36941
1610547959,36941
1610547960,36941
1610547961,36941
1610547962,36941
1610547963,36941
1610547964,36941
1610547965,36941
1610547966,36941
1610547967,36941
1610547968,36941
1610547969,36941
1610547970,36941
1610547971,36941
1610547972,36941
1610547973,36941
1610547974,36941
1610547975,36941
1610547976,36941
1610547977,36916
1610547978,36916
1610547979,36916
1610547980,36916
1610547981,36916
1610547982,36916
1610547983,36916
1610547984,36916
1610547985,36916
1610547986,36916
1610547987,36916
1610547988,36916
1610547989,36916
1610547990,36916
1610547991,36916
1610547992,36916
1610547993,36916
1610547994,36916
1610547995,36916
1610547996,36916
1610547997,36916
1610547998,36916
1610547999,36916
1610548000,36916
1610548001,36916
1610548002,36916
1610548003,36916
1610548004,36916
1610548005,36916
1610548006,36916
1610548007,36916
1610548008,36916
1610548009,36916
1610548010,36916
1610548011,36916
1610548012,36916
1610548013,36916
1610548014,36916
1610548015,36916
1610548016,36916
1610548017,36916
1610548018,36916
1610548019,36916
1610548020,36916
1610548021,36916
1610548022,36916
1610548023,36916
1610548024,36916
1610548025,36916
1610548026,36916
1610548027,36916
1610548028,36916
1610548029,36916
1610548030,36916
1610548031,36916
1610548032,36916
1610548033,36916
1610548034,36916
1610548035,36916
1610548036,36916
1610548037,36951
1610548038,36951
1610548039,36951
1610548040,36951
1610548041,36951
1610548042,36951
1610548043,36951
1610548044,36951
1610548045,36951
1610548046,36951
1610548047,36951
1610548048,36951
1610548049,36951
1610548050,36951
1610548051,36951
1610548052,36951
1610548053,36951
1610548054,36951
1610548055,36951
1610548056,36951
1610548057,36951
1610548058,36951
1610548059,36951
1610548060,36951
1610548061,36951
1610548062,36951
1610548063,36951
1610548064,36951
1610548065,36951
1610548066,36951
1610548067,36951
1610548068,36951
1610548069,36951
1610548070,36951
1610548071,36951
1610548072,36951
1610548073,36951
1610548074,36951
1610548075,36951
1610548076,36951
1610548077,36951
1610548078,36951
1610548079,36951
1610548080,36951
1610548081,36951
1610548082,36951
1610548083,36951
1610548084,36951
1610548085,36951
1610548086,36951
1610548087,36951
1610548088,36951
1610548089,36951
1610548090,36951
1610548091,36951
1610548092,36951
1610548093,36951
1610548094,36951
1610548095,36951
1610548096,36952
1610548097,36982
1610548098,36982
1610548099,36982
1610548100,36982
1610548101,36982
1610548102,36982
1610548103,36982
1610548104,36982
1610548105,36982
1610548106,36982
1610548107,36982
1610548108,36982
1610548109,36982
1610548110,36982
1610548111,36982
1610548112,36982
1610548113,36982
1610548114,36982
1610548115,36982
1610548116,36982
1610548117,36982
1610548118,36982
1610548119,36982
1610548120,36982
1610548121,36982
1610548122,36982
1610548123,36982
1610548124,36982
1610548125,36982
1610548126,36982
1610548127,36982
1610548128,36982
1610548129,36982
1610548130,36982
1610548131,36982
1610548132,36982
1610548133,36982
1610548134,36982
1610548135,36982
1610548136,36982
1610548137,36982
1610548138,36982
1610548139,36982
1610548140,36982
1610548141,36982
1610548142,36982
1610548143,36982
1610548144,36982
1610548145,36982
1610548146,36982
1610548147,36982
1610548148,36982
1610548149,36982
1610548150,36982
1610548151,36982
1610548152,36982
1610548153,36982
1610548154,36982
1610548155,36982
1610548156,36982
1610548157,37007
1610548158,37007
1610548159,37007
1610548160,37007
1610548161,37007
1610548162,37007
1610548163,37007
1610548164,37007
1610548165,37007
1610548166,37007
1610548167,37007
1610548168,37007
1610548169,37007
1610548170,37007
1610548171,37007
1610548172,37007
1610548173,37007
1610548174,37007
1610548175,37007
1610548176,37007
1610548177,37007
1610548178,37007
1610548179,37007
1610548180,37007
1610548181,37007
1610548182,37007
1610548183,37007
1610548184,37007
1610548185,37007
1610548186,37007
1610548187,37007
1610548188,37007
1610548189,37007
1610548190,37007
1610548191,37007
1610548192,37007
1610548193,37007
1610548194,37007
1610548195,37007
1610548196,37007
1610548197,37007
1610548198,37007
1610548199,37007
1610548200,37007
1610548201,37007
1610548202,37007
1610548203,37007
1610548204,37007
1610548205,37007
1610548206,37007
1610548207,37007
1610548208,37007
1610548209,37007
1610548210,37007
1610548211,37007
1610548212,37007
1610548213,37007
1610548214,37007
1610548215,37007
1610548216,37007
1610548217,37037
1610548218,37037
1610548219,37037
1610548220,37037
1610548221,37037
1610548222,37037
1610548223,37037
1610548224,37037
1610548225,37037
1610548226,37037
1610548227,37037
