TI-AFEXXXX,,2/16/2022,
GRE-DC_Time,GRE-DC_Value,GRE-AMB_Time,GRE-AMB_Value
0,-0.419298935,0,-0.224313354
0.009765625,-0.419187927,0.009765625,-0.224565125
0.01953125,-0.419319534,0.01953125,-0.223901939
0.029296875,-0.419412804,0.029296875,-0.225544167
0.0390625,-0.419359016,0.0390625,-0.226975822
0.048828125,-0.419436264,0.048828125,-0.226464272
0.05859375,-0.419292068,0.05859375,-0.228507042
0.068359375,-0.419352722,0.068359375,-0.228846359
0.078125,-0.419296074,0.078125,-0.22953701
0.087890625,-0.41907692,0.087890625,-0.230585861
0.09765625,-0.419252014,0.09765625,-0.230517769
0.107421875,-0.419433403,0.107421875,-0.231778336
0.1171875,-0.419338989,0.1171875,-0.233958435
0.126953125,-0.419750404,0.126953125,-0.235020447
0.13671875,-0.419484901,0.13671875,-0.235943413
0.146484375,-0.419310379,0.146484375,-0.237768745
0.15625,-0.419169044,0.15625,-0.238876534
0.166015625,-0.419535255,0.166015625,-0.240521049
0.17578125,-0.419344139,0.17578125,-0.24202137
0.185546875,-0.419450569,0.185546875,-0.24148407
0.1953125,-0.419027138,0.1953125,-0.244226646
0.205078125,-0.419617653,0.205078125,-0.243597221
0.21484375,-0.419621658,0.21484375,-0.245486641
0.224609375,-0.419418526,0.224609375,-0.247169495
0.234375,-0.419468307,0.234375,-0.248916435
0.244140625,-0.419418526,0.244140625,-0.250330925
0.25390625,-0.419840813,0.25390625,-0.252615738
0.263671875,-0.419550705,0.263671875,-0.254296303
0.2734375,-0.419656563,0.2734375,-0.254716301
0.283203125,-0.419666862,0.283203125,-0.256589127
0.29296875,-0.419605637,0.29296875,-0.257238579
0.302734375,-0.419394493,0.302734375,-0.257277489
0.3125,-0.419699478,0.3125,-0.256507301
0.322265625,-0.419670296,0.322265625,-0.257600784
0.33203125,-0.419354439,0.33203125,-0.257922363
0.341796875,-0.419521523,0.341796875,-0.256768799
0.3515625,-0.419717216,0.3515625,-0.256432915
0.361328125,-0.419500923,0.361328125,-0.254744911
0.37109375,-0.419540405,0.37109375,-0.252133369
0.380859375,-0.41928463,0.380859375,-0.252025795
0.390625,-0.419489479,0.390625,-0.251896477
0.400390625,-0.419649124,0.400390625,-0.251046753
0.41015625,-0.419603348,0.41015625,-0.24887867
0.419921875,-0.419538116,0.419921875,-0.246153831
0.4296875,-0.41947403,0.4296875,-0.245405388
0.439453125,-0.419563866,0.439453125,-0.244154549
0.44921875,-0.419342422,0.44921875,-0.242757797
0.458984375,-0.419455147,0.458984375,-0.241779327
0.46875,-0.419298363,0.46875,-0.241353607
0.478515625,-0.419538689,0.478515625,-0.23737793
0.48828125,-0.419466591,0.48828125,-0.235851288
0.498046875,-0.419455147,0.498046875,-0.234322357
0.5078125,-0.419211388,0.5078125,-0.232722473
0.517578125,-0.419454002,0.517578125,-0.232190895
0.52734375,-0.4195467,0.52734375,-0.229976463
0.537109375,-0.419278908,0.537109375,-0.229595375
0.546875,-0.419298935,0.546875,-0.227175522
0.556640625,-0.419015694,0.556640625,-0.227225304
0.56640625,-0.419183922,0.56640625,-0.225743294
0.576171875,-0.419349289,0.576171875,-0.224981689
0.5859375,-0.419273186,0.5859375,-0.222378731
0.595703125,-0.419190216,0.595703125,-0.222631073
0.60546875,-0.419047165,0.60546875,-0.220968819
0.615234375,-0.419210243,0.615234375,-0.221162224
0.625,-0.419051743,0.625,-0.219763184
0.634765625,-0.419360161,0.634765625,-0.219884491
0.64453125,-0.419106102,0.64453125,-0.219372368
0.654296875,-0.418952751,0.654296875,-0.217686081
0.6640625,-0.419239998,0.6640625,-0.216547966
0.673828125,-0.419304085,0.673828125,-0.214657974
0.68359375,-0.419228554,0.68359375,-0.214817619
0.693359375,-0.419137573,0.693359375,-0.214634514
0.703125,-0.418980217,0.703125,-0.216070175
0.712890625,-0.41922226,0.712890625,-0.214911461
0.72265625,-0.419016838,0.72265625,-0.214062309
0.732421875,-0.419023132,0.732421875,-0.213388824
0.7421875,-0.419130135,0.7421875,-0.212966537
0.751953125,-0.419130707,0.751953125,-0.213372231
0.76171875,-0.419218254,0.76171875,-0.212572861
0.771484375,-0.418936729,0.771484375,-0.213777351
